id	locationID	countryCode	occurrenceStatus	establishmentMeans
126500	Philippines	PH	Present	Alien
126501	Philippines	PH	Present	Alien
126502	Philippines	PH	Present	Alien
126503	Philippines	PH	Present	Alien
126504	Philippines	PH	Present	Alien
126505	Philippines	PH	Present	Alien
126506	Philippines	PH	Present	Alien
126507	Philippines	PH	Present	Alien
126508	Philippines	PH	Present	Alien
126509	Philippines	PH	Present	Alien
126510	Philippines	PH	Present	Alien
126511	Philippines	PH	Present	Alien
126512	Philippines	PH	Present	Alien
126513	Philippines	PH	Present	Alien
126514	Philippines	PH	Present	Alien
126515	Philippines	PH	Present	Alien
126516	Philippines	PH	Present	Alien
126517	Philippines	PH	Present	Alien
126518	Philippines	PH	Present	Alien
126519	Philippines	PH	Present	Alien
126520	Philippines	PH	Present	Alien
126521	Philippines	PH	Present	Alien
126522	Philippines	PH	Present	Alien
126523	Philippines	PH	Present	Alien
126524	Philippines	PH	Present	Alien
126525	Philippines	PH	Present	Alien
126526	Philippines	PH	Present	Alien
126527	Philippines	PH	Present	Alien
126528	Philippines	PH	Present	Alien
126529	Philippines	PH	Present	Alien
126530	Philippines	PH	Present	Alien
126531	Philippines	PH	Present	Alien
126532	Philippines	PH	Present	Alien
126533	Philippines	PH	Present	Alien
126534	Philippines	PH	Present	Alien
126535	Philippines	PH	Present	Alien
126536	Philippines	PH	Present	Alien
126537	Philippines	PH	Present	Alien
126538	Philippines	PH	Present	Alien
126539	Philippines	PH	Present	Alien
126540	Philippines	PH	Present	Alien
126541	Philippines	PH	Present	Alien
126542	Philippines	PH	Present	Alien
126543	Philippines	PH	Present	Alien
126544	Philippines	PH	Present	Alien
126545	Philippines	PH	Present	Alien
126546	Philippines	PH	Present	Alien
126547	Philippines	PH	Present	Alien
126548	Philippines	PH	Present	Alien
126549	Philippines	PH	Present	Alien
126550	Philippines	PH	Present	Alien
126551	Philippines	PH	Present	Alien
126552	Philippines	PH	Present	Alien
126553	Philippines	PH	Present	Alien
126554	Philippines	PH	Present	Alien
126555	Philippines	PH	Present	Alien
126556	Philippines	PH	Present	Alien
126557	Philippines	PH	Present	Alien
126558	Philippines	PH	Present	Alien
126559	Philippines	PH	Present	Alien
126560	Philippines	PH	Present	Alien
126561	Philippines	PH	Present	Alien
126562	Philippines	PH	Present	Alien
126563	Philippines	PH	Present	Alien
126564	Philippines	PH	Present	Alien
126565	Philippines	PH	Present	Alien
126566	Philippines	PH	Present	Alien
126567	Philippines	PH	Present	Alien
126568	Philippines	PH	Present	Alien
126569	Philippines	PH	Present	Alien
126570	Philippines	PH	Present	Alien
126571	Philippines	PH	Present	Alien
126572	Philippines	PH	Present	Alien
126573	Philippines	PH	Present	Alien
126574	Philippines	PH	Present	Alien
126575	Philippines	PH	Present	Alien
126576	Philippines	PH	Present	Alien
126577	Philippines	PH	Present	Alien
126578	Philippines	PH	Present	Alien
126579	Philippines	PH	Present	Alien
126580	Philippines	PH	Present	Alien
126581	Philippines	PH	Present	Alien
126582	Philippines	PH	Present	Alien
126583	Philippines	PH	Present	Alien
126584	Philippines	PH	Present	Alien
126585	Philippines	PH	Present	Alien
126586	Philippines	PH	Present	Alien
126587	Philippines	PH	Present	Alien
126588	Philippines	PH	Present	Alien
126589	Philippines	PH	Present	Alien
126590	Philippines	PH	Present	Alien
126591	Philippines	PH	Present	Alien
126592	Philippines	PH	Present	Alien
126593	Philippines	PH	Present	Alien
126594	Philippines	PH	Present	Alien
126595	Philippines	PH	Present	Alien
126596	Philippines	PH	Present	Alien
126597	Philippines	PH	Present	Alien
126598	Philippines	PH	Present	Alien
126599	Philippines	PH	Present	Alien
126600	Philippines	PH	Present	Alien
126601	Philippines	PH	Present	Alien
126602	Philippines	PH	Present	Alien
126603	Philippines	PH	Present	Alien
126604	Philippines	PH	Present	Alien
126605	Philippines	PH	Present	Alien
126606	Philippines	PH	Present	Alien
126607	Philippines	PH	Present	Alien
126608	Philippines	PH	Present	Alien
126609	Philippines	PH	Present	Alien
126610	Philippines	PH	Present	Alien
126611	Philippines	PH	Present	Alien
126612	Philippines	PH	Present	Alien
126613	Philippines	PH	Present	Alien
126614	Philippines	PH	Present	Alien
126615	Philippines	PH	Present	Alien
126616	Philippines	PH	Present	Alien
126617	Philippines	PH	Present	Alien
126618	Philippines	PH	Present	Alien
126619	Philippines	PH	Present	Alien
126620	Philippines	PH	Present	Alien
126621	Philippines	PH	Present	Alien
126622	Philippines	PH	Present	Alien
126623	Philippines	PH	Present	Alien
126624	Philippines	PH	Present	Alien
126625	Philippines	PH	Present	Alien
126626	Philippines	PH	Present	Alien
126627	Philippines	PH	Present	Alien
126628	Philippines	PH	Present	Alien
126629	Philippines	PH	Present	Alien
126630	Philippines	PH	Present	Alien
126631	Philippines	PH	Present	Alien
126632	Philippines	PH	Present	Alien
126633	Philippines	PH	Present	Alien
126634	Philippines	PH	Present	Alien
