id	isInvasive	habitat
126500	Null	Terrestrial
126501	Null	Terrestrial
126502	Null	Terrestrial
126503	Null	Terrestrial
126504	Null	Terrestrial
126505	Null	Terrestrial
126506	Null	Terrestrial
126507	Null	Terrestrial
126508	Null	Terrestrial
126509	Null	Terrestrial
126510	Null	Terrestrial
126511	Null	Terrestrial
126512	Null	Terrestrial
126513	Null	Terrestrial
126514	Null	Terrestrial
126515	Null	Terrestrial
126516	Null	Terrestrial
126517	Invasive	Marine
126518	Null	Terrestrial
126519	Null	Terrestrial
126520	Null	Terrestrial
126521	Null	Terrestrial
126522	Null	Terrestrial
126523	Null	Terrestrial
126524	Null	Terrestrial
126525	Null	Terrestrial
126526	Null	Terrestrial
126527	Null	Terrestrial
126528	Null	Terrestrial
126529	Null	Terrestrial
126530	Null	Freshwater
126531	Null	Terrestrial
126532	Null	Freshwater|Brackish
126533	Null	Terrestrial
126534	Null	Terrestrial
126535	Null	Terrestrial
126536	Null	Terrestrial
126537	Null	Terrestrial
126538	Null	Terrestrial
126539	Null	Terrestrial
126540	Null	Terrestrial
126541	Null	Terrestrial
126542	Null	Terrestrial
126543	Null	Freshwater|Brackish
126544	Null	Terrestrial
126545	Invasive	Freshwater
126546	Null	Terrestrial
126547	Null	Terrestrial
126548	Null	Terrestrial
126549	Null	Freshwater|Brackish
126550	Null	Terrestrial
126551	Null	Terrestrial
126552	Null	Terrestrial
126553	Null	Terrestrial
126554	Null	Terrestrial
126555	Null	Terrestrial
126556	Null	Terrestrial
126557	Null	Freshwater
126558	Null	Terrestrial
126559	Null	Terrestrial
126560	Invasive	Freshwater
126561	Null	Terrestrial
126562	Null	Terrestrial
126563	Null	Terrestrial
126564	Null	Terrestrial
126565	Null	Terrestrial
126566	Null	Terrestrial
126567	Null	Terrestrial
126568	Null	Terrestrial
126569	Null	Terrestrial
126570	Null	Terrestrial
126571	Null	Terrestrial
126572	Null	Terrestrial
126573	Null	Terrestrial
126574	Null	Terrestrial
126575	Invasive	Terrestrial
126576	Null	Terrestrial
126577	Null	Terrestrial
126578	Null	Terrestrial
126579	Null	Terrestrial
126580	Null	Terrestrial
126581	Null	Terrestrial|Freshwater
126582	Null	Terrestrial
126583	Null	Terrestrial
126584	Null	Terrestrial
126585	Null	Terrestrial
126586	Null	Terrestrial
126587	Null	Terrestrial
126588	Null	Terrestrial
126589	Null	Terrestrial
126590	Null	Terrestrial
126591	Null	Terrestrial
126592	Null	Terrestrial
126593	Null	Terrestrial
126594	Null	Freshwater|Brackish
126595	Invasive	Freshwater|Brackish
126596	Null	Terrestrial
126597	Null	Terrestrial
126598	Null	Terrestrial
126599	Null	Terrestrial
126600	Null	Terrestrial
126601	Null	Terrestrial
126602	Null	Terrestrial
126603	Null	Terrestrial
126604	Null	Freshwater|Brackish
126605	Null	Terrestrial
126606	Null	Terrestrial
126607	Null	Terrestrial
126608	Null	Terrestrial
126609	Null	Terrestrial
126610	Null	Terrestrial
126611	Null	Terrestrial
126612	Null	Freshwater
126613	Invasive	Freshwater|Brackish
126614	Null	Freshwater|Brackish|Marine
126615	Invasive	Marine
126616	Null	Terrestrial
126617	Invasive	Freshwater
126618	Null	Freshwater
126619	Null	Freshwater
126620	Null	Terrestrial
126621	Invasive	Terrestrial
126622	Null	Terrestrial
126623	Null	Terrestrial|Freshwater
126624	Null	Freshwater|Brackish
126625	Null	Terrestrial
126626	Null	Freshwater|Brackish
126627	Null	Terrestrial
126628	Null	Terrestrial
126629	Null	Terrestrial
